id,role,payment_status,trade_completed,joined_at,read_at,user_id,group_board_id
43,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,5,6
44,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,69,7
45,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,123,7
46,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,32,7
47,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,172,7
48,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,128,7
49,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,79,8
50,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,52,8
51,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,122,8
52,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,154,8
53,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,174,8
54,L,PAID,1,2025.6.13 22:00,2025.6.13 22:00,138,9
55,P,UNPAID,0,2025.6.13 22:00,,108,9
56,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,146,9
57,P,UNPAID,0,2025.6.13 22:00,,179,9
58,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,81,9
59,P,UNPAID,0,2025.6.13 22:00,,191,9
60,P,UNPAID,0,2025.6.13 22:00,,175,9
61,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,8,9
62,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,192,9
63,P,UNPAID,0,2025.6.13 22:00,,102,9
64,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,15,9
65,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,191,10
66,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,197,10
67,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,172,10
68,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,163,11
69,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,43,11
70,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,188,11
71,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,111,11
72,L,PAID,1,2025.6.13 22:00,,132,12
73,P,UNPAID,0,2025.6.13 22:00,,170,12
74,L,PAID,1,2025.6.13 22:00,,25,13
75,P,UNPAID,0,2025.6.13 22:00,,145,13
76,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,7,13
77,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,43,13
78,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,105,13
79,P,UNPAID,0,2025.6.13 22:00,,168,13
80,P,UNPAID,0,2025.6.13 22:00,,29,13
81,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,51,13
82,L,PAID,1,2025.6.13 22:00,2025.6.13 22:00,103,14
83,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,81,14
84,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,60,14
85,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,131,14
86,P,UNPAID,0,2025.6.13 22:00,,71,14
87,P,UNPAID,0,2025.6.13 22:00,,191,14
88,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,189,15
89,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,123,15
90,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,140,15
91,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,120,15
92,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,172,15
93,L,PAID,1,2025.6.13 22:00,2025.6.13 22:00,99,16
94,P,UNPAID,0,2025.6.13 22:00,,116,16
95,P,UNPAID,0,2025.6.13 22:00,,4,16
96,P,UNPAID,0,2025.6.13 22:00,,18,16
97,P,UNPAID,0,2025.6.13 22:00,,145,16
98,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,192,16
99,P,UNPAID,0,2025.6.13 22:00,,114,16
100,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,153,16
101,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,116,17
102,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,177,17
103,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,154,17
104,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,183,17
105,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,150,17
106,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,17,17
107,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,19,17
108,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,110,17
109,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,32,17
110,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,140,17
111,L,PAID,1,2025.6.13 22:00,2025.6.13 22:00,109,18
112,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,19,18
113,P,UNPAID,0,2025.6.13 22:00,,199,18
114,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,131,18
115,P,UNPAID,0,2025.6.13 22:00,,155,18
116,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,67,18
117,L,PAID,1,2025.6.13 22:00,,138,19
118,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,102,19
119,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,123,19
120,P,UNPAID,0,2025.6.13 22:00,,168,19
121,P,UNPAID,0,2025.6.13 22:00,,61,19
122,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,130,20
123,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,147,20
124,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,183,20
125,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,192,20
126,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,16,20
127,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,189,20
128,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,157,20
129,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,136,20
130,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,121,20
131,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,144,20
132,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,19,21
133,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,141,21
134,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,81,21
135,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,164,21
136,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,175,21
137,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,32,21
138,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,188,21
139,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,94,21
140,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,190,21
141,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,172,21
142,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,75,21
143,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,123,21
144,L,PAID,1,2025.6.13 22:00,2025.6.13 22:00,19,22
145,P,UNPAID,0,2025.6.13 22:00,,6,22
146,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,111,22
147,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,171,22
148,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,146,22
149,P,UNPAID,0,2025.6.13 22:00,,120,22
150,P,UNPAID,0,2025.6.13 22:00,,168,22
151,P,UNPAID,0,2025.6.13 22:00,,83,22
152,P,UNPAID,0,2025.6.13 22:00,,198,22
153,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,119,23
154,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,98,23
155,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,52,23
156,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,165,23
157,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,195,23
158,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,161,23
159,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,105,23
160,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,89,23
161,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,167,23
162,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,170,23
163,L,PAID,1,2025.6.13 22:00,,16,24
164,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,90,24
165,P,UNPAID,0,2025.6.13 22:00,,132,24
166,P,UNPAID,0,2025.6.13 22:00,,8,24
167,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,135,24
168,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,14,25
169,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,82,25
170,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,158,25
171,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,111,25
172,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,121,25
173,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,131,25
174,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,152,25
175,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,97,25
176,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,146,25
177,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,200,25
178,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,4,26
179,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,115,26
180,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,69,26
181,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,186,26
182,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,155,26
183,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,151,27
184,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,114,27
185,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,147,27
186,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,186,27
187,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,97,28
188,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,50,28
189,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,113,28
190,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,149,29
191,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,172,29
192,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,77,29
193,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,184,29
194,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,34,29
195,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,81,29
196,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,43,29
197,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,80,29
198,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,97,29
199,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,192,29
200,L,PAID,1,2025.6.13 22:00,,4,30
201,P,UNPAID,0,2025.6.13 22:00,,24,30
202,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,186,30
203,P,UNPAID,0,2025.6.13 22:00,,111,30
204,L,PAID,1,2025.6.13 22:00,2025.6.13 22:00,13,31
205,P,UNPAID,0,2025.6.13 22:00,,108,31
206,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,135,31
207,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,103,31
208,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,77,31
209,P,UNPAID,0,2025.6.13 22:00,,167,31
210,P,UNPAID,0,2025.6.13 22:00,,92,31
211,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,186,31
212,P,UNPAID,0,2025.6.13 22:00,,152,31
213,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,123,31
214,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,136,31
215,L,PAID,1,2025.6.13 22:00,,185,32
216,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,147,32
217,P,UNPAID,0,2025.6.13 22:00,,18,32
218,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,14,32
219,P,UNPAID,0,2025.6.13 22:00,,15,32
220,L,PAID,1,2025.6.13 22:00,2025.6.13 22:00,31,33
221,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,195,33
222,P,UNPAID,0,2025.6.13 22:00,,179,33
223,P,UNPAID,0,2025.6.13 22:00,,18,33
224,P,UNPAID,0,2025.6.13 22:00,,168,33
225,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,119,33
226,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,89,33
227,L,PAID,1,2025.6.13 22:00,2025.6.13 22:00,115,34
228,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,199,34
229,P,UNPAID,0,2025.6.13 22:00,,198,34
230,P,UNPAID,0,2025.6.13 22:00,,8,34
231,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,131,34
232,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,105,34
233,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,161,35
234,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,121,35
235,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,185,35
236,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,165,35
237,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,137,35
238,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,196,35
239,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,103,36
240,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,157,36
241,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,160,36
242,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,106,36
243,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,153,37
244,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,97,37
245,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,182,37
246,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,106,37
247,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,123,37
248,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,81,37
249,L,PAID,1,2025.6.13 22:00,2025.6.13 22:00,199,38
250,P,UNPAID,0,2025.6.13 22:00,,191,38
251,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,64,38
252,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,120,38
253,P,UNPAID,0,2025.6.13 22:00,,115,38
254,P,UNPAID,0,2025.6.13 22:00,,179,38
255,P,UNPAID,0,2025.6.13 22:00,,171,38
256,L,PAID,1,2025.6.13 22:00,2025.6.13 22:00,78,39
257,L,PAID,1,2025.6.13 22:00,,16,40
258,P,UNPAID,0,2025.6.13 22:00,,170,40
259,P,UNPAID,0,2025.6.13 22:00,,176,40
260,P,UNPAID,0,2025.6.13 22:00,,155,40
261,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,165,40
262,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,115,41
263,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,103,41
264,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,16,41
265,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,72,41
266,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,43,41
267,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,195,41
268,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,99,41
269,L,PAID,1,2025.6.13 22:00,,191,42
270,P,UNPAID,0,2025.6.13 22:00,,133,42
271,P,UNPAID,0,2025.6.13 22:00,,74,42
272,P,UNPAID,0,2025.6.13 22:00,,61,42
273,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,147,42
274,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,14,43
275,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,55,43
276,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,102,43
277,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,188,43
278,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,91,43
279,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,34,43
280,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,121,43
281,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,145,43
282,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,153,44
283,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,87,44
284,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,177,44
285,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,23,44
286,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,15,45
287,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,186,45
288,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,46,45
289,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,124,45
290,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,77,45
291,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,193,45
292,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,9,45
293,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,112,45
294,L,PAID,1,2025.6.13 22:00,,97,46
295,P,UNPAID,0,2025.6.13 22:00,,134,46
296,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,68,46
297,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,49,47
298,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,158,47
299,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,3,47
300,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,32,48
301,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,178,48
302,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,5,48
303,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,113,48
304,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,98,48
305,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,166,48
306,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,28,48
307,L,PAID,1,2025.6.13 22:00,2025.6.13 22:00,103,49
308,P,PAID,0,2025.6.13 22:00,2025.6.13 22:00,199,49
309,P,PAID,0,2025.6.13 22:00,2025.6.13 22:00,74,49
310,P,PAID,1,2025.6.13 22:00,2025.6.13 22:00,142,49
311,P,PAID,0,2025.6.13 22:00,2025.6.13 22:00,8,49
312,P,PAID,1,2025.6.13 22:00,2025.6.13 22:00,157,49
313,L,PAID,1,2025.6.13 22:00,,49,50
314,P,UNPAID,0,2025.6.13 22:00,,18,50
315,P,UNPAID,0,2025.6.13 22:00,,175,50
316,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,61,50
317,P,UNPAID,0,2025.6.13 22:00,,111,50
318,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,19,51
319,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,135,51
320,L,PAID,1,2025.6.13 22:00,,119,52
321,P,UNPAID,0,2025.6.13 22:00,,58,52
322,P,UNPAID,0,2025.6.13 22:00,,188,52
323,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,26,52
324,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,32,53
325,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,147,53
326,L,PAID,1,2025.6.13 22:00,,14,54
327,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,94,54
328,P,UNPAID,0,2025.6.13 22:00,,167,54
329,P,UNPAID,0,2025.6.13 22:00,,71,54
330,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,103,55
331,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,1,55
332,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,13,55
333,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,27,55
334,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,45,55
335,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,68,55
336,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,81,55
337,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,99,55
338,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,121,55
339,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,144,55
340,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,138,56
341,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,172,56
342,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,35,56
343,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,88,56
344,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,195,56
345,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,149,57
346,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,12,57
347,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,181,57
348,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,18,58
349,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,107,58
350,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,41,58
351,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,139,58
352,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,162,58
353,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,2,58
354,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,16,59
355,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,170,59
356,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,151,60
357,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,84,60
358,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,22,60
359,P,PAID,0,2025.6.13 22:00,2025.6.13 23:00,198,60
360,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,11,60
361,L,PAID,1,2025.6.13 22:00,,4,61
362,L,PAID,1,2025.6.13 22:00,2025.6.13 22:00,22,62
363,P,PAID,0,2025.6.13 22:00,2025.6.13 22:00,118,62
364,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,103,63
365,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,53,63
366,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,18,64
367,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,131,64
368,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,103,65
369,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,65,65
370,L,PAID,1,2025.6.13 22:00,,163,66
371,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,92,66
372,L,PAID,1,2025.6.13 22:00,,151,67
373,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,128,67
374,P,UNPAID,0,2025.6.13 22:00,,38,67
375,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,79,68
376,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,183,68
377,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,50,68
378,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,10,68
379,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,155,68
380,L,PAID,1,2025.6.13 22:00,,119,69
381,P,UNPAID,0,2025.6.13 22:00,,7,69
382,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,180,69
383,P,UNPAID,0,2025.6.13 22:00,,93,69
384,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,171,70
385,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,14,70
386,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,42,70
387,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,85,70
388,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,117,70
389,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,194,70
390,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,20,70
391,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,63,70
392,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,1,70
393,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,133,70
394,L,PAID,1,2025.6.13 22:00,,189,71
395,P,UNPAID,0,2025.6.13 22:00,,150,71
396,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,60,71
397,P,UNPAID,0,2025.6.13 22:00,,24,71
398,P,UNPAID,0,2025.6.13 22:00,2025.6.13 22:00,101,71
399,P,UNPAID,0,2025.6.13 22:00,,173,71
400,L,PAID,1,2025.6.13 22:00,2025.6.13 23:00,97,72
401,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,192,72
402,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,4,72
403,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,140,72
404,P,PAID,1,2025.6.13 22:00,2025.6.13 23:00,72,72
